name_res,kind_res,address,promotion,star,number_rating,status,open_time,cost_res,store_url
Hồng Quân - Cháo Sườn Sụn - Phan Đình Giót,QUÁN ĂN -Chi nhánh,"136 Phan Đình Giót, P. La Khê, Hà Đông, Hà Nội",Giảm món,4.5,500+,Mở cửa,00:00 - 23:59,17.000 - 50.000,https://shopeefood.vn/ha-noi/hong-quan-chao-suon-sun-phan-dinh-giot
Cela Healthy Fastfood - Ngụy Như Kon Tum,QUÁN ĂN -Chi nhánh,"71 Ngụy Như Kon Tum, P. Nhân Chính, Thanh Xuân, Hà Nội",Giảm món,4.5,999+,Đóng cửa,,35.000 - 85.000,https://shopeefood.vn/ha-noi/cela-healthy-fastfood-nguy-nhu-kon-tum
Nem Nướng Nha Trang Quý Luyện - Hồ Tùng Mậu,"Yêu thích
QUÁN ĂN","39 Ngõ 75 Hồ Tùng Mậu, P. Mai Dịch, Cầu Giấy, Hà Nội",Giảm món,4.5,999+,Đóng cửa,,45.000 - 55.000,https://shopeefood.vn/ha-noi/nem-nuong-nha-trang-quy-luyen-ho-tung-mau
Cơm Ngon 125 - Cơm - 32 Ngõ 125 Nguyễn Ngọc Vũ,QUÁN ĂN,"32 Ngõ 125 Nguyễn Ngọc Vũ, P. Trung Hoà, Cầu Giấy, Hà Nội",Giảm hết 10%,4.5,50+,Mở cửa,00:00 - 23:59,0 - 0,https://shopeefood.vn/ha-noi/com-ngon-125-com-32-ngo-125-nguyen-ngoc-vu.18hkxf
Đồ Ăn Vặt & Cá Viên Chiên - Đường Láng,QUÁN ĂN -Chi nhánh,"97B Ngõ 1194 Đường Láng, P. Láng Thượng, Đống Đa, Hà Nội",Giảm món,4.5,100+,Mở cửa,11:00 - 23:00,10.000 - 100.000,https://shopeefood.vn/ha-noi/do-an-vat-ca-vien-chien-duong-lang
Hoa Quả Gọt Sẵn & Nước Ép Nguyên Chất 99,QUÁN ĂN,"121 Ngõ Thái Thịnh 1, P. Thịnh Quang, Đống Đa, Hà Nội",Giảm món,4.5,100+,Đóng cửa,,0 - 0,https://shopeefood.vn/ha-noi/hoa-qua-got-san-nuoc-ep-nguyen-chat-99
Tiệm Mì Indo - Đặng Văn Ngữ,QUÁN ĂN -Chi nhánh,"91 Đặng Văn Ngữ, Đống Đa, Hà Nội",Giảm món,4.5,999+,Mở cửa,06:15 - 23:15,13.000 - 42.000,https://shopeefood.vn/ha-noi/tiem-mi-indo-dang-van-ngu
"Bánh Gà, Nem Chua & Mỳ Trộn My My - Bắc Biên",QUÁN ĂN,"58 Vũ Trọng Phụng, Thanh Xuân, Hà Nội",Giảm hết 10%,4.5,50+,Đóng cửa,,10.000 - 40.000,https://shopeefood.vn/ha-noi/banh-ga-nem-chua-my-tron-my-my-bac-bien
Green Healthy - Giáp Bát,QUÁN ĂN,"Số 15 Ngách 56/12 Ngõ Giáp Bát, P. Giáp Bát, Hoàng Mai, Hà Nội",Giảm món,0,4,Đóng cửa,,0 - 0,https://shopeefood.vn/ha-noi/green-healthy-giap-bat
"Su Su - Nước Ép, Sinh Tố & Bánh Tráng Trộn - Khương Đình",CAFÉ/DESSERT,"164 Khương Đình, P.Thượng Đình, Thanh Xuân, Hà Nội",Giảm món,3.5,100+,Mở cửa,00:00 - 02:00 | 19:00 - 23:59,0 - 0,https://shopeefood.vn/ha-noi/su-su-nuoc-ep-sinh-to-banh-trang-tron-khuong-dinh
Bún Chả Que Tre - Thanh Xuân Bắc,QUÁN ĂN -Chi nhánh,"115E8 Thanh Xuân Bắc, P. Thanh Xuân Bắc, Thanh Xuân, Hà Nội",Giảm món,4.5,10+,Đóng cửa,,0 - 0,https://shopeefood.vn/ha-noi/bun-cha-que-tre-thanh-xuan-bac
Linh Foody - Nem Chua Rán & Ăn Vặt - Khu Tập Thể Thành Công,SHOP ONLINE,"101 A4 Khu Tập Thể Thành Công, P. Thành Công, Ba Đình, Hà Nội",Giảm hết 30%,4.5,10+,Mở cửa,00:00 - 23:59,0 - 0,https://shopeefood.vn/ha-noi/linh-foody-nem-chua-ran-an-vat-khu-tap-the-thanh-cong
Let's Pizza - Pizza & Mì Ý - Lương Khánh Thiện,"Yêu thích
QUÁN ĂN -Chi nhánh","Số 6 Ngõ 51 Lương Khánh Thiện, P. Tương Mai, Hoàng Mai, Hà Nội",Giảm món,4.5,500+,Đóng cửa,,15.000 - 200.000,https://shopeefood.vn/ha-noi/let-s-pizza-pizza-mi-y-luong-khanh-thien
Quán Gà Luộc & Gà Ủ Muối Đội Cấn - Khu Tập Thể Thành Công,SHOP ONLINE,"101 A4 Khu Tập Thể Thành Công, P. Thành Công, Ba Đình, Hà Nội",Giảm hết 33%,4.5,10+,Mở cửa,00:00 - 23:59,0 - 0,https://shopeefood.vn/ha-noi/quan-ga-luoc-ga-u-muoi-doi-can-khu-tap-the-thanh-cong
Long Tuý - Mì Trộn Indomie - Đại Cồ Việt,QUÁN ĂN,"7 Ngõ 27 Đại Cồ Việt (đến nhà số 7/27 rẽ vào trong ngách 10m), Hai Bà Trưng, Hà Nội",Giảm món,4.5,100+,Đóng cửa,,0 - 0,https://shopeefood.vn/ha-noi/long-tuy-mi-tron-indomie-dai-co-viet
Thuỳ Linh - Cháo Dinh Dưỡng - Đại Từ,"Yêu thích
QUÁN ĂN -Chi nhánh","139 Đại Từ, P. Đại Kim, Hoàng Mai, Hà Nội",Giảm món,4.5,999+,Mở cửa,00:00 - 23:59,15.000 - 25.000,https://shopeefood.vn/ha-noi/thuy-linh-chao-dinh-duong-dai-tu
Oishii - Cơm Bò Quốc Dân Nhật Bản - Minh Khai,"Yêu thích
QUÁN ĂN -Chi nhánh","461 Minh Khai, P. Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Giảm món,4.5,500+,Đóng cửa,,0 - 0,https://shopeefood.vn/ha-noi/oishii-com-bo-quoc-dan-nhat-ban-minh-khai
Quán Chum Tea - Coffee - Triều Khúc,CAFÉ/DESSERT,"85 Ngõ 68 Triều Khúc, Xã Tân Triều, Thanh Trì, Hà Nội",Giảm món,4.5,100+,Mở cửa,00:00 - 23:59,25.000 - 70.000,https://shopeefood.vn/ha-noi/quan-chum-tea-coffee-trieu-khuc
Gà Rán Bốp Bi,ĂN VẶT/VỈA HÈ,"234 Thụy Khuê, P. Thụy Khuê, Tây Hồ, Hà Nội",Giảm hết 20%,4.5,500+,Đóng cửa,,20.000 - 100.000,https://shopeefood.vn/ha-noi/ga-ran-bop-bi
Mì Trộn Thu Trang - Trần Khát Chân,QUÁN ĂN,"Ngõ 30 Trần khát Chân Kéo Dài, P. Bạch Đằng (Đối diện Mazda ô tô), Hai Bà Trưng, Hà Nội",Giảm món,4.5,500+,Mở cửa,00:00 - 23:59,45.000 - 45.000,https://shopeefood.vn/ha-noi/mi-tron-thu-trang-tran-khat-chan
Mập Ú - Chân Gà Sả Ớt & Sốt Thái - Trần Duy Hưng,QUÁN ĂN,"Số 7 Ngõ 148 Trần Duy Hưng, P. Trung Hòa, Cầu Giấy, Hà Nội",Giảm món,4.5,100+,Đóng cửa,,5.000 - 300.000,https://shopeefood.vn/ha-noi/map-u-chan-ga-sa-ot-sot-thai-tran-duy-hung
Cô Thanh - Kem Bơ Chè Sầu Đà Nẵng - Trần Duy Hưng,QUÁN ĂN -Chi nhánh,"15 Đường Trần Duy Hưng, P. Trung Hòa, Cầu Giấy, Hà Nội",Giảm món,4.5,500+,Mở cửa,00:00 - 23:59,20.000 - 65.000,https://shopeefood.vn/ha-noi/co-thanh-kem-bo-che-sau-da-nang-tran-duy-hung
Bếp Cô Nhàn - Mỹ Đình,QUÁN ĂN,"4 Ngách 22 Ngõ 322 Mỹ Đình, Nam Từ Liêm, Hà Nội",Giảm món,4.5,10+,Đóng cửa,,10.000 - 60.000,https://shopeefood.vn/ha-noi/bep-co-nhan-my-dinh
Tiệm Mì Aji - Mì Trộn Indomie - Triều Khúc,"Yêu thích
QUÁN ĂN","68/61 Triều Khúc, P. Tân Triều, Thanh Trì, Hà Nội",Giảm món,4.5,999+,Mở cửa,00:00 - 23:59,0 - 0,https://shopeefood.vn/ha-noi/tiem-mi-aji-mi-tron-indomie-trieu-khuc.nbbfgq
Trà Bí Đao An Nhiên - Giáp Nhất,"Yêu thích
CAFÉ/DESSERT","67 Giáp Nhất, P. Thượng Đình, Thanh Xuân, Hà Nội",Giảm món,4.5,100+,Đóng cửa,,0 - 0,https://shopeefood.vn/ha-noi/tra-bi-dao-an-nhien-giap-nhat
Cô Hân - Phở Bò & Cơm Rang,QUÁN ĂN -Chi nhánh,"361 Lĩnh Nam, P. Lĩnh Nam, Hoàng Mai, Hà Nội",Giảm món,4.5,999+,Mở cửa,10:00 - 15:00 | 18:30 - 23:59,25.000 - 40.000,https://shopeefood.vn/ha-noi/co-han-pho-bo-com-rang
"Bếp Nhà Max - Chân Gà Sả Tắc, Sốt Thái & Mì Tim Cật Chua Cay",QUÁN ĂN,"Số 39 Ngách 111 Ngõ 230 Định Công Thượng, P. Định Công, Hoàng Mai, Hà Nội",Giảm món,4.5,100+,Đóng cửa,,0 - 0,https://shopeefood.vn/ha-noi/bep-nha-max-chan-ga-sa-tac-sot-thai-mi-tim-cat-chua-cay
